tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-08-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Swasembada Barat XXIV No.14,Kebon Bawang,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-08-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Dr. Soemorno,Pulo Gebang,Cakung, Kota Administrasi Jakarta Timur,0,200000000,,
2020-08-01,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Perumahan Kobang Diklat,Baru,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-08-01,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Nusa Indah,Malaka Jaya,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-08-01,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,"Jl. Taman Malaka Utara 2, Blok C",Malaka Jaya,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-08-01,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,"Jl. Cipinang Timur V, No. 16",Cipinang,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-08-01,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Cipinang Baru No. 11-13,Cipinang,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-08-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Kebon Besar 1, No. 12",Gandaria Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Taman Bunga 1 (Kali Banjir Kanal Barat),Kota Bambu Selatan,Palmerah, Kota Administrasi Jakarta Barat,0,0,,
2020-08-01,Kebakaran,Bencana Kebakaran,Petugas Pemadam,"Jl. Swadaya, No. 24",Kedaung Kali Angke,Cengkareng, Kota Administrasi Jakarta Barat,5,850000000,,
2020-08-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Jeruk Purut Buntu, No. 67",Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-01,Bantuan Operasi,Kerja Bakti,Masyarakat Telepon,Jl. Jati Padang,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-08-01,Penyelamatan,Penyelamatan Transportasi,Petugas Pemadam,"Jl. Tol Jakarta - Merak, Km. 1.8 (Depan Univ. Esa Unggul)",Duri Kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
2020-08-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Komplek Departemen Agama,Kedaung Kali Angke,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-08-01,Bantuan Operasi,Kerja Bakti,Masyarakat Telepon,Jl. Cempaka 1,Cempaka Putih Barat ,Cempaka Putih, Kota Administrasi Jakarta Pusat,0,0,,
2020-08-01,Bantuan Operasi,Kerja Bakti,Masyarakat Telepon,Jl. Intan,Galur,Johar Baru, Kota Administrasi Jakarta Pusat,0,0,,
2020-08-01,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Pemadam,Jl. Jendral Sudirman,Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-08-02,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Pemadam,Jl. Danau Tondano,Bendungan Hilir,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-08-01,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,"Jl. Pahlawan Revolusi, No. 4",Pondok Bambu,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-08-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Kamp Jembatan No..22,Penggilingan,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-08-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Toga Asri 4 ( Asrama Polsek Ciracas ),Ciracas,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
