tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-12-01,Penyelamatan,Penyelamatan Transportasi,Masyarakat Datang,Jl. Kyai Caringin ,Cideng,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-12-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Imam Mahbud,Duri Pulo,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-12-01,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Jendral Sudirman,Bendungan Hilir,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-12-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"PD. Sumber Abadi, jl. Mangga Dua Abdad komp. BJI Blok F/77",Mangga Dua Selatan ,Sawah Besar, Kota Administrasi Jakarta Pusat,0,0,,
2020-12-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. PAM Baru I C8,Bendungan Hilir,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-12-01,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Jl. Theresia No.13,Gondangdia,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-12-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Pantai Selatan,Pulau Tidung,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-12-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Asrama Pemadam Joglo, Jl. Dahlia",Joglo,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-12-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Raya Setu Nusa Melati Gg. Asem,Setu,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-12-01,Penyelamatan,Pengendalian Hewan,Jakarta Siaga 112,Jl. Budimurni II No.9,Cipayung,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-12-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. H. Jamhari, Gg. Siaga III",Angke,Tambora, Kota Administrasi Jakarta Barat,1,1000000,,
2020-12-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,jl. Angke Indah,Angke,Tambora, Kota Administrasi Jakarta Barat,15,1875000000,,
2020-12-01,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. M.T. Haryono,Tebet barat,Tebet, Kota Administrasi Jakarta Selatan,0,4500000,,
2020-12-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kapten Tendean Gg. jati,Pela Mampang,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-12-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Cilangkap Residence, Jl. Raya Setu",Setu,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-12-01,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Komp. Departemen Keuangan,Duren sawit,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-12-01,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Pemadam,Jl. Raya Lenteng Agung,Lenteng Agung,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-12-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Manggar,Tugu Utara,Koja, Kota Administrasi Jakarta Utara,0,10000000,,
2020-12-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Ruko Mahkota,Pademangan barat,Pademangan, Kota Administrasi Jakarta Utara,0,50000000,,
2020-12-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Tanjung Mas Prima, Blok D2, No. 5",Tanjung Barat,Jagakarsa, Kota Administrasi Jakarta Selatan,0,5000000,,
2020-12-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Cipedak 5 No. 11,Srengseng Sawah,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-12-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. RPTRA Krendang,Krendang,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2020-12-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Jembatan Besi Raya,Jembatan Besi,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2020-12-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Rawa Belong ( Depan Richess ),Sukabumi Utara,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
2020-12-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Darusalam,Kelapa Dua Wetan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-12-02,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. M. T Haryono,Tebet Barat,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-12-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Kamal Muara,Kamal Muara,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-12-02,Penyelamatan,Operasi Penyelamatan Lainnya,Petugas Instansi Lain,Jl. Raya Ragunan No. 19,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-12-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Dermaga Utama Pulau Kelapa,Pulau Kelapa,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,0,,
2020-12-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Shibi, Gg. Said, No. 69B",Srengseng Sawah,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-12-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Wilayah Kelurahan Pulau Harapan,Pulau Harapan,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,0,,
2020-12-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Surya Widuri IV, No. 11A",Kedoya Selatan,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
2020-12-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Pulai Bira, Blok D1, No. 6 (Ruko Permata Buana)",Kembangan Utara,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-12-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Widara,Wijaya Kusuma,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-12-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. RC. Veteran,Bintaro,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-12-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Kamal Muara,Kamal Muara,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-12-03,Penyelamatan,Penyelamatan Transportasi,Masyarakat Telepon,Jl. Petukangan Utara,Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-12-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon, Jl. Denribium No. W2,Rawa Badak Utara,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-12-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Taman Palm, Blok C NO.59",Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-12-03,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,sepanjang Jalan Utan Kayu Raya - jalan Pramuka kelurahan ,Utan Kayu Utara,Matraman, Kota Administrasi Jakarta Timur,0,0,,
2020-12-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,jln dewisartika no.34,Cililitan,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-12-03,Penyelamatan,Penyelamatan Transportasi,Petugas Instansi Lain,JL Igusti ngurah rai,Cipinang Besar Utara,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2020-12-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon, Jl.bambu ulung 1 Rt 10/05,Bambu Apus,Cipayung, Kota Administrasi Jakarta Timur,5,0,,
2020-12-03,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,"Gang Putri,Batu ampar",Batu ampar,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
