tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Kubur, No. 105",Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Jembatan Dempet (SDN 04 Sumur Batu),Sumur Batu,Kemayoran, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Cipinang, Gg. Darusalam (Mustika Ratu)",Ciracas,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Asem, Gg. Kebon Sayur 1",Ciracas,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-02-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Masjid Nurul Huda ,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,5,800000000,,
2020-02-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Telepon,Jl. Raya Pondok Gede No.4,Pinang Ranti,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Nusa Indah Raya ,Cipinang Muara,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2020-02-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Muria Gg.8,Menteng Atas,Setiabudi, Kota Administrasi Jakarta Selatan,1,0,,
2020-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Raya Penggilingan No..61,Penggilingan,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-01,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Telepon,Jl.Pulau Kelapa,Pulau Kelapa,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,0,,
2020-02-01,Bantuan Operasi,Penyedotan genangan Air,Petugas Instansi Lain,Gg.Krapu 8 No..15,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Cipinang Latihan No..7,Cipinang Besar Utara,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2020-02-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Raya Bekasi Pulogadung,Jatinegara Kaum,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Kebon Jeruk 13 No..95,Maphar,Tamansari, Kota Administrasi Jakarta Barat,0,0,,
2020-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Bakti VI No..19,Cilincing,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Batu Merah,Pejaten Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Telepon,Jl.Daan Mogot KM.19,Tangerang,Tangerang,Kota Tangerang,0,0,,
2020-02-01,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,Jl.Margonda Raya ( Kampus UI ),Depok,Depok,Kota Depok,0,0,,
2020-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Kampung Rawadas,Pondok Kopi,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-02-01,Bantuan Operasi,Kerja Bakti,Masyarakat Telepon,Jl.MH.Thamrin,Menteng,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-01,Bantuan Operasi,Kerja Bakti,Masyarakat Telepon,Jl.Batu Raja,Kebon Melati,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Telepon,Tanggul Air,Ulujami,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Wijaya Timur Raya No..117,Petogogan,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-02,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Telepon,Jl.Krendang Utara,Jembatan Lima,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2020-02-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Raya Bogor No.10,Kramat Jati,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-02-02,Penyelamatan,Pohon Tumbang,Masyarakat Datang,"Pulau Sebira, RT.03, RW.03",Pulau Harapan,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,0,,
2020-02-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Buaran I No.86,Jatinegara,Cakung, Kota Administrasi Jakarta Timur,0,0,,
