tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-01-01,Penyelamatan,Penyelamatan Transportasi,Masyarakat Datang,Jl. Raya Matraman,Pal Meriam,Matraman, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Blok F Pasar Induk Cipinang,Cipinang,Pulogadung, Kota Administrasi Jakarta Timur,0,150000000,,
2020-01-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Keadilan Dalam II,Keagungan,Tamansari, Kota Administrasi Jakarta Barat,0,0,,
2020-01-01,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,Jl. Bendungan Hilir Titik Kenal RS. Mintoharjo,Bendungan Hilir,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-01-01,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl. Ternate,Cideng,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-01-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Kelinci I,Pasar Baru ,Sawah Besar, Kota Administrasi Jakarta Pusat,0,0,,
2020-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Pecenongan Raya,Kebon Kelapa ,Gambir, Kota Administrasi Jakarta Pusat,0,5000000,,
2020-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Asem Baris Gg. H No.40,Kebon Baru,Tebet, Kota Administrasi Jakarta Selatan,0,2000000,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Bendungan Hilir Al - Falah,Bendungan Hilir,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Kawi - Kawi,Johar Baru,Johar Baru, Kota Administrasi Jakarta Pusat,0,0,,
