tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-07-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"SMAN 100 Jakarta, Jl. Basuki Rahmat",Cipinang Besar Selatan,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2020-07-01,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Saiman,Kampung Tengah,Kramat Jati, Kota Administrasi Jakarta Timur,5,500000000,,
2020-07-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. Laut Arafuru,Duren sawit,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-07-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Pos Damkar Pulogadung Jakarta Timur,Rawa Terate,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-07-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. Raya Fatmawati,Gandaria Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kelapa Hijau,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kesehatan,Gandaria Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kirana Avenue Ex. Goro,Kelapa Gading Barat,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-07-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Asem II No.13B,Cipete Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,6000000,,
2020-07-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Kantor Sektor Damkar Pesanggrahan Jakarta Selatan,Petukangan Selatan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Cibubur VII Mangga III,Cibubur,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-07-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Nusantara III,Sunter Agung,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-07-01,Penyelamatan,Penyelamatan Transportasi,Masyarakat Telepon,Dermaga Pulau Harapan,Pulau Harapan,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,60000000,,
2020-07-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Pulau Panggang,Pulau Panggang,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,700000,,
2020-07-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Samudra,Cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Ciputat Raya (Depan Sekolah Polwan),Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Mampang Prapatan,Mampang Prapatan,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-02,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Jl. Jagakarsa Raya (Jagakarsa Exclusive town house),Ciganjur,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. RC. Veteran Blok A,Pesanggrahan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Epicentrum Utama Raya,Karet Kuningan,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Jatipadang, Masjid Al Ridwan No. 38",Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-07-02,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. RA. Fadilah (Kantor Sektor 10),Cijantung,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-07-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Raya Pondok Ranggon,Pondok Rangon,Cipayung, Kota Administrasi Jakarta Timur,1,5000000,,
2020-07-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Karya 1,Kampung Tengah,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-07-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Gg. Perintis 1,Cipinang Muara,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2020-07-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Kesatrian VIII, No. 84 (Komplek Berlan)",Kebon Manggis,Matraman, Kota Administrasi Jakarta Timur,2,15000000,,
2020-07-02,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Cempaka,Cakung Timur,Cakung, Kota Administrasi Jakarta Timur,0,0,,
