tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-06-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Proklamasi Matraman,Pegangsaan ,Menteng, Kota Administrasi Jakarta Pusat,30,1000000000,,
2020-06-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Jaya 24 No.45,Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-06-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. janur Kuning VII Blok WM No.22,Kelapa Gading Timur,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-06-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Kp. Lio,Jatinegara,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-06-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Kantor Sudin Damkar Jakarta Selatan,Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-01,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Asem II No.29,Cipete Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,2000000,,
2020-06-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Jatibaru V,Kampung Bali,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-06-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Gunung Sahari Raya,kartini,Sawah Besar, Kota Administrasi Jakarta Pusat,0,0,,
2020-06-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. H. Simang,Srengseng Sawah,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Purwa Raya,Cipedak,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Cibubur 3 No. 46,Cibubur,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-06-02,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. Pantai Indah Timur (Pos PIK Penjaringan),Kapuk Muara,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-06-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Masalembo No. 47,Cijantung,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Raya Ragunan No. 1,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Check Point PSBB Lokasi Jalan lingkar Universitas Indonesia perbatasan Depok,Srengseng Sawah,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,"Posko Check Point Kukusan Raya, Jl.SMP 211",Srengseng Sawah,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Moh. Kahfi II,Cipedak,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Di wilayah Kec. Mampang Prapatan,Mampang Prapatan,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Ciledug Raya (Depan Univ. Budi Luhur),Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,"Check Point PSBB
Lokasi Perbatasan Jalan Brigif Raya",Ciganjur,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Ciputat Raya (Depan Sekolah Polwan),Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Cileduk Raya (Depan Pasar Cipulir),Cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,"Check Point Stasium MRT Blok A, dan pasar Blok A",Pulo,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,"Check Point PSBB
Lokasi Perbatasan Jalan Brigif Raya",Ciganjur,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jln M Kahfi I gg H anur,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain," Lampu Merah/Traffic Light Perempatan RS. Fatmawati.
 ",Cilandak Barat,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. SMP Tunas Harapan, Komp BNI",Wijaya Kusuma,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-06-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Darma Bakti V,Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-06-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. RE. Martadinata, Gg. Pelita 3",Tanjung Priok,Tanjung Priok, Kota Administrasi Jakarta Utara,13,350000000,,
