tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-03-01,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. I Gusti Ngurah Rai (Depan Stasiun Klender),Klender,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-03-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Cempaka Ujung,Tugu Utara,Koja, Kota Administrasi Jakarta Utara,1,1000000,,
2020-03-01,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Pulo Nagka Timur,Pulogadung,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-03-01,Bantuan Operasi,Penyedotan genangan Air,Petugas Instansi Lain,Jl. Lembah Pasr ,Cibubur,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-03-01,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,"lingkungan Rw.05,07 dan 09",Karet Tengsin,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-03-01,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Pangeran Komarudin,Pulo gebang,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-03-01,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. H.Ali 1,Kampung Tengah,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-03-01,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Bulevard raya Kelapa Gading,Kelapa Gading Barat,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-03-01,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. V5 Teluk gong,Pejagalan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-03-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Cikoko Timur,cikoko,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2020-03-01,Penyelamatan,Penyelamatan Transportasi,Petugas Instansi Lain,Gusung APL Nusa Keramba,pulau Panggang,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,0,,
2020-03-01,Penyelamatan,Pengendalian Hewan,Jakarta Siaga 112,Jl. Kirai Indah No. 23,Kalisari,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-03-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Yayasan Minhasabirin Blok Dukuh ,Cibubur,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-03-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. KKN ,Petukangan Selatan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-03-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. HH,Kebon Jeruk,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
2020-03-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. ukir 1,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-03-01,Bantuan Operasi,Kerja Bakti,Masyarakat Telepon,Lingkungan,Paseban,Senen, Kota Administrasi Jakarta Pusat,0,0,,
2020-03-01,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Benyamin Sueb ( JI EXPO Kemayoran ),Gunung sahari Selatan,Kemayoran, Kota Administrasi Jakarta Pusat,0,0,,
2020-03-01,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Pintu satu Senayan ( Istora Senayan ),Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-03-01,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Pintu satu Senayan ( Hall Basket GBK),Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-03-01,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Pintu satu Senayan ( Stadion Utama Gelora Bung karno),Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-03-01,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Kotabaru bandar Kemayoran,Kebon Kosong,Kemayoran, Kota Administrasi Jakarta Pusat,0,0,,
2020-03-01,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Masjid al Makmur,Pejaten Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-03-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Pulau sebira,pulau harapan,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,0,,
2020-03-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,JL KH Zainul Arifin No. 71,Duri pulo,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-03-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. H Gaim,Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-03-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Ineri ( Perumahan bukit Permai ),Cibubur,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-03-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Nusa Indah dalam IV,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-03-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Kantor Sudun Pemadam Jakarta Barat Jl. Tanjung Duren Raya No..1,Tanjung Duren Utara,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-03-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. H. Radin No. 25,Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,1,5000000,,
2020-03-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Buncit Raya, komp griya Intan No. 21 B",pejaten barat,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-03-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Warakas VIII Gg. 10 ,Warakas,Tanjung Priok, Kota Administrasi Jakarta Utara,2,300000000,,
2020-03-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,jl. Sabar II,Petukangan Selatan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-03-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Klover 10 Blok Bm 01 ( green Orchad kelapa Gading ),Sukapura,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
