tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-05-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kramat Raya No. 150,Kenari,Senen, Kota Administrasi Jakarta Pusat,0,0,,
2020-05-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl.Pademangan 2,Gg.28",Pademangan Timur,Pademangan, Kota Administrasi Jakarta Utara,0,0,,
2020-05-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Taman Bunga 1 ,Kota Bambu selatan,Palmerah, Kota Administrasi Jakarta Barat,0,0,,
2020-05-01,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl.Cileduk Raya ( Ps.Cipulir ),Cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-01,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Diwilayah Mampang Prapatan,Mampang Prapatan,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-01,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl.Raya PS.Jumat,lebak bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Pantai Mutiara Blok SB No..20,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,0,1000000000,,
2020-05-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Nangka Raya Gg.Langgar,Tanjung Barat,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Taman Palapa 2,Pasar Minggu,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Jembatan 2 Barat,Angke,Tambora, Kota Administrasi Jakarta Barat,7,300000000,,
2020-05-01,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl.Suwiryo No..28,Menteng,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-05-01,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl.H.Agus Salim No..20,Menteng,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-05-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Masjid  ,Lenteng Agung,Jagakarsa, Kota Administrasi Jakarta Selatan,0,3000000,,
2020-05-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Kemeyan, No.69",Ciganjur,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-02,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,"Jl. Suwiryo, No.51",Gondangdia,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-05-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Raya Lenteng Agung,Lenteng Agung,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-02,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Kantor Sektor Damkar Ciracas Jakarta Timur,Ciracas,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-05-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciledug Raya (Depan Univ. Budi Luhur),Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciledug Raya (Depan ITC Cipulir) Rt. 08 Rw. 10 Kel. Cipulir Kec. Kebayoran Lama ,Cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Wilayah Kec. Mampang Prapatan,Mampang Prapatan,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,"1. Jl. Sudirman
2. Jl. Satrio Raya",Setiabudi,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciputat Raya (Depan Sekolah Polwan),Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Kalibata City Kel. Rawajati,Rawajati,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jalan Brigif Raya perbatasan Depok,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-02,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Gerbang Pemuda No.8,Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-05-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciledug Raya (Depan Univ. Budi Luhur),Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciledug Raya (Depan ITC Cipulir),Cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Wilayah Kec. Mampang Prapatan,Mampang Prapatan,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciputat Raya (Depan Sekolah Polwan),Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-03,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Pemadam,Jl. Jendral sudirman,Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-05-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Batu Kinyang 2, No. 34",Batu ampar,Kramat Jati, Kota Administrasi Jakarta Timur,0,10000000,,
2020-05-03,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,"Jl. Sapi Perah, No. 9A",Pondok Rangon,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-05-03,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,"Jl. Mawar Merah 1, No. 167 ( Pos klender )",Malaka Jaya,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-05-03,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,"Jl. Tipar Cakung, Gg. Ketut",Cakung Barat,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-05-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. H. Ahmad, No. 43",Bale Kambang,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-05-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Buaran 1,Klender,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-05-03,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Kali Bata Raya (Depan Apartemen Kalibata City),Rawajati,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kebagusan 1 (Taman Kebagusan),Kebagusan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Raya Cacing Arah JGC,Cakung Timur,Cakung, Kota Administrasi Jakarta Timur,5,0,,
2020-05-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Raya Bogor KM 24 ( PT.DIRGA BUANA SARANA ),Susukan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-05-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Kemanggisan Pulo No..102,Palmerah,Palmerah, Kota Administrasi Jakarta Barat,0,0,,
2020-05-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciledug Raya (Depan Univ. Budi Luhur),Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl.Cileduk Raya ( Ps.Cipulir ),Cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Di Wilayah Kel.Guntur & Kel.Karet Kuningan,Guntur,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,"Jl. Raya Pasar Pumat, Lebak bulus,",Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Setia Budi,Setiabudi,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-04,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Pasar Minggu,Pasar Minggu,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jln. Transkop no.5,Menteng Dalam,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Bambu Duri X No..8,Pondok Bambu,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-05-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciledug Raya (Depan Univ. Budi Luhur),Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciledug Raya (Depan ITC Cipulir) Rt. 08 Rw. 10 Kel. Cipulir Kec. Kebayoran Lama ,Cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Wilayah Kec. Mampang Prapatan,Mampang Prapatan,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciputat Raya (Depan Sekolah Polwan),Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Kalibata City Kel. Rawajati,Rawajati,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,"Gd. AXA Tower, Gd. Tokopedia Kantor Buana Finance Lt. 38 Jl. DR Satrio Kel. Karet Semanggi Kec. Setiabudi",Karet Semanggi,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-05,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,GOR Pasar Minggu Jl. Raya Ragunan No. 1 Rt. 06 Rw. 01 Kel. Jatipadang Kec. Pasar Minggu,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon, Jl.Kebon Pala III,Kebon Melati,Tanah Abang, Kota Administrasi Jakarta Pusat,0,200000,,
2020-05-06,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Blok A (Taman Gajah),Pulo,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-06,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciledug Raya (depan Pasar Cipulir),Cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-06,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciledug Raya (Depan Univ. Budi Luhur),Petukangan Utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-05-06,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Ciputat Raya (Depan Sekolah Polwan),Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
