tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-11-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Kemayoran Gempol,Kebon Kosong,Kemayoran, Kota Administrasi Jakarta Pusat,16,2475000000,,
2020-11-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Budi Mulya,Pademangan Barat,Pademangan, Kota Administrasi Jakarta Utara,0,0,,
2020-11-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Telepon,Pantai Sakura,Pulau Untung Jawa,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-11-01,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,Jl. Bougenville,Pulau Untung Jawa,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-11-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Rorotan No. 42,Rorotan,Cilincing, Kota Administrasi Jakarta Utara,0,1000000,,
2020-11-01,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,Jl. Kapuas V No. 284,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-11-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kelapa Nias 10 PE3 No. 16,Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-11-01,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Komplek Perum Pelindo 2,Cilincing,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-11-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. KH Mas mansyur,Kebon Kacang,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-11-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Tebet Timur 1 No. 16,Tebet Timur,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
