tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-10-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Taman Malaka Utara  8 Blok C5 ,Malaka Jaya,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-10-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,jln.  Kayu manis VH,Pisangan Baru,Matraman, Kota Administrasi Jakarta Timur,0,0,,
2020-10-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Antasari No. 44,Cilandak Barat,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon, Jln. H Syahrin,Gandaria Utara,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Telepon,Jl. Tanjung Duren Raya No. 1,Tanjung Duren Utara,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-10-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jln. Kampung belakang,Kamal,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-10-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Gang Anggrek No.97,Srengseng,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-10-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jln.Hadiah ( titik kenal Panti Wherda Wisma Mulia,",Jelambar,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,10000000,,
2020-10-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.H Baping No..2,Ciracas,Ciracas, Kota Administrasi Jakarta Timur,20,0,,
2020-10-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,JL Raya Pulogebang,Pulo Gebang,Cakung, Kota Administrasi Jakarta Timur,5,0,,
2020-10-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jalan Aries asri X Blok E2  No.11,Meruya Utara,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-10-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Swadaya 1,Pejaten Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon, Jl. Merak,Petukangan Selatan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Jati Padang Utara,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jln. H. Na'amin,Gandaria Utara,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-02,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl Jendral Sudirman,Bendungan Hilir,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-10-02,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Kemang Utara IX,Bangka,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-02,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Jl. Medan Merdeka (Lingkungan Monas),Gambir ,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-10-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Diamond Golf,Kapuk Muara,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-10-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Nawawi,Kedaung Kali Angke,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-10-02,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,"Kantor Sudin Damkar Jakarta Barat, Jl. Tanjung Duren raya No.1",Tanjung Duren Utara,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-10-02,Penyelamatan,Penyelamatan Transportasi,Petugas Pemadam,Jl. Raya Ragunan,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-02,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. NIS Jeruk Purut ,Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-02,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Ahmad Yani (By Pass),Pisangan Baru,Matraman, Kota Administrasi Jakarta Timur,0,0,,
2020-10-02,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Komarudin II Dalam,Penggilingan,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-10-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Komodor Udara Halim No.42,Halim Perdana Kusuma,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-10-02,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Pulau Karya,Pulau Panggang,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,300000,,
2020-10-02,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Ciputat Raya,Kebayoran lama Selatan,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-02,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Darmawangsa V No.1,Pulo,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-02,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Wahid II No.94,Ciganjur,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Raya Centex, Gg. Firman",Ciracas,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-10-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Bumi Pura III No.6,Cipinang,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-10-03,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Kantor Sektor Damkar Johar Baru Jakarta Pusat,Tanah Tinggi,Johar Baru, Kota Administrasi Jakarta Pusat,0,0,,
2020-10-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Swadaya,Jatinegara,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-10-03,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,Jl. Sunter Selatan 2,Sunter Agung,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-10-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Ulujami Raya ,Ulujami,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-03,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl. Raya Kalimalang ( Kantor Sektor Duren Sawit ),Pondok Kelapa,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-10-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Pengadegan Timur Raya,Pengadegan,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2020-10-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. H. Abdulah,Pondok Kelapa,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
