tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-09-01,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Pejambon 1,Gambir ,Gambir, Kota Administrasi Jakarta Pusat,0,50000000,,
2020-09-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Gedong Panjang 1,Pekojan,Tambora, Kota Administrasi Jakarta Barat,1,12000000,,
2020-09-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Kramat Pela III, No. 7",Pulo,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,J.Kalisari No..34,Pekayon,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-09-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.TB.Simatupang ( Komnas HAM ),Gedong,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-09-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Raya Joglo ( Asrama Damkar ),Joglo,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-09-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Kelapa Kopyor 1,Pondok Kelapa,Duren Sawit, Kota Administrasi Jakarta Timur,1,100000000,,
2020-09-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Luar Batang 5 No..47,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-09-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Laksda Yos Sudarso,Kebon Bawang,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-09-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Pondasi Kp.Ambon,Kayu Putih,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-09-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Swadaya 2 J,Tanjung Barat,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl.Peta Barat Gg.Mede 2,KAlideres,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-09-01,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Terminal Pulo Gadung,Kayu Putih,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-09-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Rawajati Timur II ,Rawajati,Pancoran, Kota Administrasi Jakarta Selatan,0,200000,,
2020-09-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon, Jln.H.Sulaiman GG Tohir,Petukangan utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-01,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain, Jl. Raya Ragunan ,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-01,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Telepon,Jln. Krinci ,Gunung,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-01,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain, Jl. Komando III ,Karet,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon, Jl. Komando III ,Karet,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon, Jln. Bukit duri Selatan,Bukit Duri,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jln. Iskandarsyah Raya ,Melawai,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon, Jln. Sawo No.41,Cipete Utara,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Suka Mulya 1,harapan Mulia,Kemayoran, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-01,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Gatot Subroto Kav 51 - 52,Petamburan,Tanah Abang, Kota Administrasi Jakarta Pusat,0,10000000,,
2020-09-02,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Hos Cokroaminoto No.43,Gondangdia,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
