,nama,alamat,location,latitude,longitude
0,Pos Jati Baru,"Jln. Taman Jati Baru, Cideng, Gambir, Jakarta Pusat","Jalan Taman Jati Baru, Gambir, DKI Jakarta, 10150",-6.182278403243329,106.81127127928357
1,Pos SetNeg,"Jln. Veteran, Gambir, Gambir, Jakarta Pusat","Jalan Veteran, Gambir, DKI Jakarta, 10110",-6.167449596283459,106.82580741228345
2,Pos Balaikota,"Jln. Medan Merdeka Selatan, Gambir, Gambir, Jakarta Pusat","Jalan Medan Merdeka Selatan, Gambir, DKI Jakarta, 10110",-6.180734301447291,106.82342228817852
3,Pos Walikota,"Jln. Tanah Abang I, Petojo Selatan, Gambir, Jakarta Pusat","Jalan Tanah Abang I, Gambir, DKI Jakarta, 10160",-6.172530090290114,106.82000078189284
4,Pos Tanah Abang,"Jln. Fachrudin, Kampung Bali, Tanah Abang, Jakarta Pusat","Jalan Fachrudin, Tanah Abang, DKI Jakarta, 10250",-6.183265646873595,106.81632720677057
5,Pos Kebon Melati,"Jln. H. Awaludin, Kebon Melati, Tanah Abang, Jakarta Pusat","Kebon Melati, Tanah Abang, DKI Jakarta",-6.1966299999999706,106.81432000000007
6,Pos MPR,"Jln. Gatot Subroto, Gelora, Tanah Abang, Jakarta Pusat","Jalan Gatot Subroto, Tanah Abang, DKI Jakarta, 10270",-6.2255049642294225,106.79858508836412
7,Pos TVRI,"Jln. Gerbang Pemuda, Gelora, Tanah Abang, Jakarta Pusat","Jalan Gerbang Pemuda, Tanah Abang, DKI Jakarta, 10270",-6.215099962994039,106.79783008843557
8,Pos Karet,"Jln. Penjernihan Raya, Karet Tengsin, Tanah Abang, Jakarta Pusat","Jalan Penjernihan, Tanah Abang, DKI Jakarta, 10220",-6.201225534524598,106.81452987804846
9,Pos Tubun (Karavan),"JL. KS Tubun, Petamburan, Tanah Abang, Jakarta Pusat","Jalan Ks Tubun II, Tanah Abang, DKI Jakarta, 10260",-6.1916999524420575,106.80597507711778
10,Pos TIM,"Jln. Cikini Raya, Cikini, Menteng, Jakarta Pusat","Jalan Cikini Raya, Menteng, DKI Jakarta, 10330",-6.188044939743378,106.83621509784655
11,Pos Proklamasi,"Jl. Proklamasi No.56, RT.10/RW.2, Pegangsaan, Menteng, Jakarta Pusat","Jalan Proklamasi 56, Menteng, DKI Jakarta, 10320",-6.202170018200846,106.84701999968246
12,Pos Cempaka Putih,"Jln. Cempaka Putih Barat, Cempaka Putih Barat, Cempaka Putih, Jakarta Pusat","Jalan Cempaka Putih Barat, Cempaka Putih, DKI Jakarta, 10520",-6.172967811718426,106.86454142478009
13,Pos Serdang,"Jln. Lapangan Porst, Serdang, Kemayoran, Jakarta Pusat","Jalan Lapangan Pors, Kemayoran, DKI Jakarta, 10650",-6.162197061858825,106.86323422542463
14,Pos Harapan Mulia,"Jl. Harapan Mulya, Harapan Mulia, Kemayoran, Jakarta Pusat","Harapan Mulya, Kemayoran, DKI Jakarta",-6.170479999999941,106.85649000000006
15,Pos Bungur,"Jln. Bungur Besar Raya, Bungur, Senen, Jakarta Pusat","Jalan Bungur Besar, Senen, DKI Jakarta, 10460",-6.171788404635029,106.84384885090817
16,Pos Pasar Baru,"Jln. Lautze, Pasar Baru, Senen, Jakarta Pusat","Jalan Lautze, Sawah Besar, DKI Jakarta, 10710",-6.158508660958309,106.83155989356914
17,Pos Semper Barat (Tidak di jaga),"Asrama pemadam kebakaran semper barat, Semper Barat, Cilincing, Jakarta Utara",Asrama Dinas Pemadam Kebakaran Dan Pb,-6.129799999999932,106.92754000000008
18,Pos Kalibaru,"Jl. Kosambi Kalibaru, Cilincing, Kalibaru, Cilincing, Jakarta Utara","Kali Baru, Cilincing, DKI Jakarta",-6.101389999999981,106.93135000000007
19,Pos Rorotan,"Jl Pinus Raya, Cilincing, Rorotan, Cilincing, Jakarta Utara","Cilincing, DKI Jakarta",-6.113579999999956,106.94911000000008
20,Pos Gading Griya Lestari,"Jl. Belimbing, Komplek  Gading Griya Lestari, Sukapura, Cilincing, Jakarta Utara",Gading Griya Lestari,-6.141089999999963,106.91877000000005
21,Pos Marunda,"Jl.Rusun Marunda , Marunda, Cilincing, Jakarta Utara","Marunda, Cilincing, DKI Jakarta",-6.118959999999959,106.95709000000005
22,Pos Lagoa,"Jl Mangga No.1, Lagoa, Koja, Jakarta Utara","Jalan Mangga 1, Koja, DKI Jakarta, 14210",-6.118030001464319,106.91080997088494
23,Pos Podomoro,"Jl. Podomoro Sunter, Sunter Agung, Tanjung Priok, Jakarta Utara",Pasar Sunter Podomoro,-6.139009999999928,106.86997000000008
24,Pos Walikota,"Jl.Yos Sudarso, Kebon Bawang, Tanjung Priok, Jakarta Utara","Jalan Yos Sudarso, Tanjung Priok, DKI Jakarta, 14320",-6.121567073671187,106.8932301024409
25,Pos Pemadam Papanggo,"Jl.Bisma Timur II (2017), Papanggo, Tanjung Priok, Jakarta Utara","Jalan Bisma Timur II, Tanjung Priok, DKI Jakarta, 14340",-6.130328861788592,106.87109583554631
26,Pos Gaya Motor,"Jl.Gaya Motor, Sunter, Sunter Agung, Tanjung Priok, Jakarta Utara","Jalan Gaya Motor, Tanjung Priok, DKI Jakarta, 14330",-6.1343464791903,106.8824439371977
27,Pos Caravan Danau Sunter,"Jl. Danau Sunter Utara, Sunter Jaya, Tanjung Priok, Jakarta Utara","Jalan Danau Sunter Utara, Tanjung Priok, DKI Jakarta, 14350",-6.140858588219811,106.8852570859337
28,Pos Caravan Warakas,"Jl. Warakas Raya , Warakas, Tanjung Priok, Jakarta Utara","Jalan Warakas Raya, Tanjung Priok, DKI Jakarta, 14340",-6.1262354459770885,106.8836189679189
29,Pos Kelapa Gading Barat,"Jl. Pelepah Indah LC 3, Klp Gading, Kelapa Gading Barat, Kelapa Gadin, Jakarta Utara","Jalan Raya Pelepah Indah 3, Kelapa Gading, DKI Jakarta, 14240",-6.1533600167154106,106.90640997463203
30,Pos Kelapa Gading Kirana /2018,"Jl. Gading Kirana Utara RW.08 Klp Gading Barat, Kelapa Gading Barat, Kelapa Gadin, Jakarta Utara","Jalan Gading Kirana Utara 8, Kelapa Gading, DKI Jakarta, 14240",-6.142100019446616,106.89881001920384
31,Pos Pegangsaan II,"Jl. Taman Pegangsaan II, Pegangsaan Dua, Kelapa Gadin, Jakarta Utara","Jalan Taman Pegangsaan Indah, Kelapa Gading, DKI Jakarta, 14250",-6.167199371335151,106.91981299235198
32,Pos Pemadam RW 12,"Jl Kelapa Puan Timur Blok NF Rt014/012, Pegangsaan Dua, Kelapa Gadin, Jakarta Utara","Jalan Kelapa Puan Timur, Kelapa Gading, DKI Jakarta, 14250",-6.1629051597687505,106.91365957805886
33,Pos Binaria,"Jl. Lodan Timur 5, Kel Ancol Pademangan, Ancol, Pademangan, Jakarta Utara","Jalan Lodan, Pademangan, DKI Jakarta, 14430",-6.126288475651691,106.8491431234764
34,Pos Pademangan Timur,"Jl. Pademangan IX, Pademangan Timur, Pademangan Timur, Pademangan, Jakarta Utara",Taman Pademangan Timur,-6.132199999999955,106.84551000000005
35,Pos Pademangan Barat,"Jl. Budi Mulya, Pademangan Barat , Pademangan Barat, Pademangan, Jakarta Utara","Pademangan Barat, Pademangan, DKI Jakarta",-6.134389999999939,106.83661000000006
36,Pos Teluk Gong,"Jl.Taman Permata Indah, Kel. Pejagalan, Pejagalan, Penjaringan, Jakarta Utara","Jalan Taman Permata Indah II, Penjaringan, DKI Jakarta, 14450",-6.13998954500739,106.77779784419243
37,Pos Penjaringan,"Jl. Pantai Indah Timur Raya, Penjaringan, Penjaringan, Penjaringan, Jakarta Utara","Penjaringan, DKI Jakarta",-6.131649999999979,106.79270000000008
38,Pos Muara Baru,"Jl. Pelabuhan Perikanan Penjaringan, Penjaringan, Penjaringan, Jakarta Utara","Penjaringan, DKI Jakarta",-6.131649999999979,106.79270000000008
39,Pos PIK,"Jl. Pantai Indah Timur Raya, Penjaringan, Kapuk Muara, Penjaringan, Jakarta Utara","Jalan Pantai Indah Timur, Penjaringan, DKI Jakarta, 14460",-6.107651792502468,106.75147027993386
40,Pos Pluit,"Jl. Pluit Barat Terusan, Kel. Pluit, Pluit, Penjaringan, Jakarta Utara","Pluit Kel., Penjaringan, DKI Jakarta",-6.118699999999933,106.79411000000005
41,Pos Muara Angke,"Jl. Dermaga Pelabuhan, Kel. Pluit, Pluit, Penjaringan, Jakarta Utara","Jalan Dermaga, Penjaringan, DKI Jakarta, 14450",-6.104792799621409,106.77511757426215
