wilayah,kecamatan,kelurahan,alamat,jumlah_kondisi_baik,jumlah_kondisi_rusak,luas_lahan,luas_bangunan,keterangan
Jakarta Pusat,Gambir,Cideng,Jln. Taman Jati Baru,1,0,120,120,Pos Jati Baru
Jakarta Pusat,Gambir,Gambir,Jln. Veteran,1,0,120,120,Pos SetNeg
Jakarta Pusat,Gambir,Gambir,Jln. Medan Merdeka Selatan,1,0,120,120,Pos Balaikota
Jakarta Pusat,Gambir,Petojo Selatan,Jln. Tanah Abang I,1,0,110,110,Pos Walikota
Jakarta Pusat,Tanah Abang,Kampung Bali,Jln. Fachrudin,1,0,,,Pos Tanah Abang
Jakarta Pusat,Tanah Abang,Kebon Melati,Jln. H. Awaludin,1,0,210,210,Pos Kebon Melati
Jakarta Pusat,Tanah Abang,Gelora,Jln. Gatot Subroto,1,0,,,Pos MPR
Jakarta Pusat,Tanah Abang,Gelora,Jln. Gerbang Pemuda,1,0,,,Pos TVRI
Jakarta Pusat,Tanah Abang,Karet Tengsin,Jln. Penjernihan Raya,1,0,245,245,Pos Karet
Jakarta Pusat,Tanah Abang,Petamburan,JL. KS Tubun,1,0,207,,Pos Tubun (Karavan)
Jakarta Pusat,Menteng,Cikini,Jln. Cikini Raya,1,0,108,108,Pos TIM
Jakarta Pusat,Menteng,Pegangsaan,"Jl. Proklamasi No.56, RT.10/RW.2",1,0,,,Pos Proklamasi
Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,Jln. Cempaka Putih Barat,1,0,143,Aset Bangunan Milik Sudin,Pos Cempaka Putih
Jakarta Pusat,Kemayoran,Serdang,Jln. Lapangan Porst,1,0,270,270,Pos Serdang
Jakarta Pusat,Kemayoran,Harapan Mulia,Jl. Harapan Mulya,1,0,426,,Pos Harapan Mulia
Jakarta Pusat,Senen,Bungur,Jln. Bungur Besar Raya,1,0,135,135,Pos Bungur
Jakarta Pusat,Senen,Pasar Baru,Jln. Lautze,1,0,160,160,Pos Pasar Baru
Jakarta Utara,Cilincing,Semper Barat,Asrama pemadam kebakaran semper barat,0,1,315,143,Pos Semper Barat (Tidak di jaga)
Jakarta Utara,Cilincing,Kalibaru,"Jl. Kosambi Kalibaru, Cilincing",1,0,312,143,Pos Kalibaru
Jakarta Utara,Cilincing,Rorotan,"Jl Pinus Raya, Cilincing",1,0,560,143,Pos Rorotan
Jakarta Utara,Cilincing,Sukapura,"Jl. Belimbing, Komplek  Gading Griya Lestari",1,0,560,143,Pos Gading Griya Lestari
Jakarta Utara,Cilincing,Marunda,Jl.Rusun Marunda ,1,0,,,Pos Marunda
